"Code","collection_date","cyst","numeric","positive","assay_type","cyst_date","sample_type","plate","dob","Unit","Sex","age","age_cat"
"CRU",2014-10-04,0,2.58756772249792,1,"logscale",NA,"urine","2013",2013-10-30,"C4","M",0.93,"non-adult"
"CRU",2015-04-20,0,2.5609658310621,1,"logscale",NA,"urine","2013",2013-10-30,"C4","M",1.47,"non-adult"
"CRU",2014-09-18,0,2.24257758904187,0,"logscale",NA,"urine","2013",2013-10-30,"C4","M",0.88,"non-adult"
"CUE",2015-04-27,0,2.0967787336476,0,"logscale",NA,"urine","2013",2010-09-30,"C1","M",4.57,"non-adult"
"CUE",2014-09-09,0,2.05653125363801,0,"logscale",NA,"urine","2013",2010-09-30,"C1","M",3.94,"non-adult"
"CUE",2013-10-09,0,4.6,0,"odv",NA,"urine","5",2010-09-30,"C1","M",3.03,"non-adult"
"CUE",2015-09-15,0,2.06988672260212,0,"logscale",NA,"urine","2013",2010-09-30,"C1","M",4.96,"non-adult"
"DAL",2013-10-18,0,8.15,0,"odv",NA,"urine","9",2009-05-04,"D","M",4.46,"non-adult"
"DAL",2014-10-04,0,2.99722366158174,1,"logscale",NA,"urine","2013",2009-05-04,"D","M",5.42,"non-adult"
"DAX",2019-02-18,0,0,0,"net_OD",NA,"plasma","2023",2008-02-06,"D","M",11.03,"adult"
"DEM",2015-04-11,0,1.99056232041653,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.33,"adult"
"DEM",2015-04-16,0,2.00208831422906,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.35,"adult"
"DEM",2015-05-07,0,2.05599787513602,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.41,"adult"
"DEM",2015-04-08,0,2.15088543460715,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.33,"adult"
"DEM",2015-05-15,0,1.81414986638538,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.43,"adult"
"DEM",2015-04-24,0,2.20948435710198,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.37,"adult"
"DEM",2015-04-15,0,2.18327335007537,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.34,"adult"
"DEM",2015-05-07,0,2.06500583733368,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.41,"adult"
"DEM",2015-05-21,0,2.20405785857867,0,"logscale",NA,"urine","2013",2006-12-10,"","M",8.44,"adult"
"DEM",2017-11-15,0,0.002,0,"net_OD",NA,"plasma","2024",2006-12-10,"","M",10.93,"adult"
"DEM",2015-04-29,0,3.23226755305704,1,"logscale",NA,"urine","2013",2006-12-10,"","M",8.38,"adult"
"DEV",2015-05-20,0,3.71207441405877,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.38,"adult"
"DEV",2015-04-16,0,3.13994293207246,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.28,"adult"
"DEV",2015-06-08,0,3.18362613245021,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.43,"adult"
"DEV",2014-08-25,0,3.27190678963283,1,"logscale",NA,"urine","2013",1999-01-02,"","M",15.64,"adult"
"DEV",2015-04-24,0,3.97321429975023,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.31,"adult"
"DEV",2015-05-20,0,3.83602780267859,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.38,"adult"
"DEV",2014-10-07,0,3.0404677508793,1,"logscale",NA,"urine","2013",1999-01-02,"","M",15.76,"adult"
"DEV",2015-05-15,0,3.41435859000085,1,"logscale",NA,"urine","2013",1999-01-02,"","M",16.36,"adult"
"DEV",2015-09-15,0,2.25374018116585,0,"logscale",NA,"urine","2013",1999-01-02,"","M",16.7,"adult"
"DIE",2014-10-11,0,4.31944983014629,1,"logscale",NA,"urine","2013",2004-03-11,"","M",10.58,"adult"
"DIE",2014-09-18,0,4.56881440819452,1,"logscale",NA,"urine","2013",2004-03-11,"","M",10.52,"adult"
"DIE",2015-05-18,0,2.99811910301441,1,"logscale",NA,"urine","2013",2004-03-11,"","M",11.18,"adult"
"DIE",2014-08-14,0,3.06280751894115,1,"logscale",NA,"urine","2013",2004-03-11,"","M",10.43,"adult"
"DIE",2015-05-19,0,2.74318394043007,1,"logscale",NA,"urine","2013",2004-03-11,"","M",11.19,"adult"
"DIK",2014-09-06,0,2.83524845482048,1,"logscale",NA,"urine","2013",2002-10-12,"","M",11.9,"adult"
"DIK",2013-09-30,0,68.8,1,"odv",NA,"urine","5",2002-10-12,"","M",10.97,"adult"
"DJA",2014-08-24,0,2.16305688855697,0,"logscale",NA,"urine","2013",2003-04-02,"O","M",11.39,"adult"
"DJA",2014-09-23,0,2.02974581169007,0,"logscale",NA,"urine","2013",2003-04-02,"O","M",11.48,"adult"
"DON",2015-04-09,0,2.05780597074289,0,"logscale",NA,"urine","2013",2006-09-14,"D","M",8.57,"adult"
"DON",2014-10-02,0,3.01693331515076,1,"logscale",NA,"urine","2013",2006-09-14,"D","M",8.05,"non-adult"
"DON",2013-10-18,0,32.6,0,"odv",NA,"urine","9",2006-09-14,"D","M",7.09,"non-adult"
"DON",2014-10-29,0,2.10840578680078,0,"logscale",NA,"urine","2013",2006-09-14,"D","M",8.12,"non-adult"
"DOP",2013-10-09,0,2.1,0,"odv",NA,"urine","5",2011-10-04,"D","M",2.02,"non-adult"
"DOP",2014-08-11,0,2.06510145736043,0,"logscale",NA,"urine","2013",2011-10-04,"D","M",2.85,"non-adult"
"DRO",2020-01-31,0,1.276,1,"net_OD",NA,"plasma","2023",2013-05-28,"D","M",6.68,"non-adult"
"ELI",2014-09-23,0,2.49864506323956,1,"logscale",NA,"urine","2013",2007-06-07,"T","M",7.3,"non-adult"
"ERC",2015-04-24,0,2.22692333684641,0,"logscale",NA,"urine","2013",2006-07-08,"","M",8.79,"adult"
"ERC",2015-05-16,0,1.84367310648992,0,"logscale",NA,"urine","2013",2006-07-08,"","M",8.85,"adult"
"ERC",2015-04-18,0,2.17687914187977,0,"logscale",NA,"urine","2013",2006-07-08,"","M",8.78,"adult"
"ERC",2015-05-21,0,2.1914938620706,0,"logscale",NA,"urine","2013",2006-07-08,"","M",8.87,"adult"
"ERI",2014-08-20,0,2.119861409156,0,"logscale",NA,"urine","2013",2010-01-15,"C1","M",4.59,"non-adult"
"ERI",2013-09-24,0,27.8,0,"odv",NA,"urine","5",2010-01-15,"C1","M",3.69,"non-adult"
"ERN",2015-05-05,1,3.57167492186823,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.8,"adult"
"ERN",2015-05-14,1,3.37133011564479,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.83,"adult"
"ERN",2015-05-22,1,3.94848148677104,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.85,"adult"
"ERN",2015-06-08,1,4.29913176177124,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.9,"adult"
"ERN",2015-06-08,1,4.49143048171471,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.9,"adult"
"ERN",2015-06-08,1,4.13322059017302,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.9,"adult"
"ERN",2015-05-20,1,3.70861390177936,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.85,"adult"
"ERN",2015-05-19,1,4.43972634546918,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.84,"adult"
"ERN",2015-05-22,1,3.95392108907538,1,"logscale",NA,"urine","2013",2001-07-15,"Z1","M",13.85,"adult"
"FAB",2014-10-06,0,1.78372841942065,0,"logscale",NA,"urine","2013",2006-04-05,"","M",8.5,"adult"
"FAB",2015-05-20,0,2.15937540482488,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.12,"adult"
"FAB",2015-05-18,0,2.13873461681216,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.12,"adult"
"FAB",2015-05-20,0,2.0967787336476,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.12,"adult"
"FAB",2014-10-18,0,4.19234318286157,1,"logscale",NA,"urine","2013",2006-04-05,"","M",8.54,"adult"
"FAB",2015-06-10,0,2.26461376751443,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.18,"adult"
"FAB",2015-06-08,0,2.4733317546025,1,"logscale",NA,"urine","2013",2006-04-05,"","M",9.17,"adult"
"FAB",2015-05-12,0,2.26848131038013,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.1,"adult"
"FAB",2015-04-14,0,2.07183029917341,0,"logscale",NA,"urine","2013",2006-04-05,"","M",9.02,"adult"
"FLY",2014-08-24,0,2.9817187890642,1,"logscale",NA,"urine","2013",2011-12-13,"N","M",2.7,"non-adult"
"FLY",2014-10-15,0,3.69736890028769,1,"logscale",NA,"urine","2013",2011-12-13,"N","M",2.84,"non-adult"
"GAP",2015-05-20,0,2.21800620047803,0,"logscale",NA,"urine","2013",2002-01-01,"","M",13.38,"adult"
"GAP",2014-08-24,0,2.26205445699686,0,"logscale",NA,"urine","2013",2002-01-01,"","M",12.64,"adult"
"GAS",2015-05-11,0,1.7097781795932,0,"logscale",NA,"urine","2013",2005-01-27,"","M",10.28,"adult"
"GAS",2015-05-16,0,1.83918741671256,0,"logscale",NA,"urine","2013",2005-01-27,"","M",10.3,"adult"
"GAS",2014-08-13,0,2.27957293771443,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.54,"adult"
"GAS",2014-08-13,0,1.96324604727967,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.54,"adult"
"GAS",2015-05-14,0,2.03827801035954,0,"logscale",NA,"urine","2013",2005-01-27,"","M",10.29,"adult"
"GAS",2015-05-13,0,1.76936940155542,0,"logscale",NA,"urine","2013",2005-01-27,"","M",10.29,"adult"
"GAS",2014-10-26,0,2.0938959957587,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.74,"adult"
"GAS",2014-10-13,0,2.05065090179905,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.71,"adult"
"GAS",2014-10-27,0,2.07577393917774,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.75,"adult"
"GAS",2014-10-28,0,1.91842516913958,0,"logscale",NA,"urine","2013",2005-01-27,"","M",9.75,"adult"
"GAV",2014-09-21,0,1.96061116216086,0,"logscale",NA,"urine","2013",2010-09-23,"G","M",3.99,"non-adult"
"GIB",2014-09-08,0,2.09469797238633,0,"logscale",NA,"urine","2013",2013-06-18,"G","M",1.22,"non-adult"
"GIB",2014-09-21,0,2.4238439354817,1,"logscale",NA,"urine","2013",2013-06-18,"G","M",1.26,"non-adult"
"GIZ",2014-09-03,0,2.08757702109149,0,"logscale",NA,"urine","2013",2012-02-24,"V","M",2.52,"non-adult"
"GIZ",2013-09-30,0,4.3,0,"odv",2017-10-02,"urine","5",2012-02-24,"V","M",1.6,"non-adult"
"GOH",2014-09-16,0,1.70464816187554,0,"logscale",NA,"urine","2013",2000-10-01,"","M",13.96,"adult"
"GUN",2019-02-20,0,2.4431,1,"net_OD",NA,"plasma","2023",2010-06-08,"J1","M",8.7,"adult"
"HOO",2013-09-23,0,0,0,"odv",NA,"urine","5",2001-11-01,"","M",11.89,"adult"
"HOO",2013-09-21,0,NA,NA,"odv",NA,"urine","5",2001-11-01,"","M",11.89,"adult"
"HOR",2014-10-11,0,2.26939484510268,0,"logscale",NA,"urine","2013",2011-06-30,"T","M",3.28,"non-adult"
"HOR",2014-08-25,0,2.30810520076195,0,"logscale",NA,"urine","2013",2011-06-30,"T","M",3.15,"non-adult"
"IMP",2013-09-21,0,48.7,1,"odv",NA,"urine","5",2006-02-01,"","M",7.64,"non-adult"
"IMP",2014-10-18,0,2.96420550571539,1,"logscale",NA,"urine","2013",2006-02-01,"","M",8.71,"adult"
"IMP",2014-10-04,0,2.75019683324158,1,"logscale",NA,"urine","2013",2006-02-01,"","M",8.67,"adult"
"IMP",2015-04-21,0,1.9866906103379,0,"logscale",NA,"urine","2013",2006-02-01,"","M",9.22,"adult"
"IMP",2015-04-29,0,2.44285074006453,1,"logscale",NA,"urine","2013",2006-02-01,"","M",9.24,"adult"
"IMP",2013-09-23,0,0,0,"odv",NA,"urine","5",2006-02-01,"","M",7.64,"non-adult"
"IMP",2014-08-14,0,1.88132906906256,0,"logscale",NA,"urine","2013",2006-02-01,"","M",8.53,"adult"
"IMP",2014-09-18,0,2.54438140090326,1,"logscale",NA,"urine","2013",2006-02-01,"","M",8.63,"adult"
"ISA",2014-09-04,0,1.91283558211124,0,"logscale",NA,"urine","2013",2010-07-09,"C1","M",4.16,"non-adult"
"ISA",2013-10-17,0,58.7,1,"odv",NA,"urine","5",2010-07-09,"C1","M",3.27,"non-adult"
"ISA",2019-02-22,0,0.7011,0,"net_OD",NA,"plasma","2023",2010-07-09,"C1","M",8.62,"adult"
"ISA",2013-10-17,0,78.6,1,"odv",NA,"urine","1",2010-07-09,"C1","M",3.27,"non-adult"
"JAC",2014-09-08,0,2.38037649924916,0,"logscale",NA,"urine","2013",2011-10-15,"N","M",2.9,"non-adult"
"JAR",2020-01-25,0,0,0,"net_OD",NA,"plasma","2023",2012-05-11,"J","M",7.71,"non-adult"
"JAR",2013-10-19,0,1,0,"odv",NA,"urine","9",2012-05-11,"J","M",1.44,"non-adult"
"JAS",2014-10-02,0,2.39219967145391,0,"logscale",NA,"urine","2013",2008-01-01,"","M",6.75,"non-adult"
"JAS",2014-08-28,0,2.45727252011861,1,"logscale",NA,"urine","2013",2008-01-01,"","M",6.66,"non-adult"
"JAS",2013-10-02,0,32.2,0,"odv",NA,"urine","5",2008-01-01,"","M",5.75,"non-adult"
"JAS",2015-05-15,0,2.23097604721433,0,"logscale",NA,"urine","2013",2008-01-01,"","M",7.37,"non-adult"
"JAS",2015-05-14,0,2.23097604721433,0,"logscale",NA,"urine","2013",2008-01-01,"","M",7.36,"non-adult"
"JAS",2015-04-24,0,2.35556759944968,0,"logscale",NA,"urine","2013",2008-01-01,"","M",7.31,"non-adult"
"JAS",2014-10-12,0,3.56638629615225,1,"logscale",NA,"urine","2013",2008-01-01,"","M",6.78,"non-adult"
"JOH",2014-10-15,0,2.43798785773567,1,"logscale",NA,"urine","2013",2002-01-22,"","M",12.73,"adult"
"JOH",2014-09-17,0,2.12879898528102,0,"logscale",NA,"urine","2013",2002-01-22,"","M",12.65,"adult"
"JOH",2014-08-16,0,2.21686661973433,0,"logscale",NA,"urine","2013",2002-01-22,"","M",12.56,"adult"
"JOK",2014-10-05,0,2.61277249723405,1,"logscale",NA,"urine","2013",2009-11-19,"J","M",4.88,"non-adult"
"JOK",2014-09-09,0,2.22498127129103,0,"logscale",NA,"urine","2013",2009-11-19,"J","M",4.8,"non-adult"
"JOK",2014-10-15,0,2.56394447645982,1,"logscale",NA,"urine","2013",2009-11-19,"J","M",4.9,"non-adult"
"JOK",2013-10-09,0,14.8,0,"odv",NA,"urine","5",2009-11-19,"J","M",3.89,"non-adult"
"JOK",2014-08-11,0,2.33035898768913,0,"logscale",NA,"urine","2013",2009-11-19,"J","M",4.73,"non-adult"
"JOK",2017-11-14,0,0.002,0,"net_OD",NA,"plasma","2024",2009-11-19,"J","M",7.99,"non-adult"
"JOK",2013-10-16,0,17.4,0,"odv",NA,"urine","5",2009-11-19,"J","M",3.91,"non-adult"
"JUD",2014-10-28,0,1.6094379124341,0,"logscale",NA,"urine","2013",2008-05-02,"","M",6.49,"non-adult"
"KIL",2013-10-03,0,4.3,0,"odv",NA,"urine","5",2007-03-21,"K","M",6.54,"non-adult"
"KIR",2013-10-03,0,27.4,0,"odv",NA,"urine","5",2013-06-30,"K","M",0.26,"non-adult"
"LEN",2014-09-06,0,2.22803332799466,0,"logscale",NA,"urine","2013",2005-12-06,"","M",8.75,"adult"
"LEN",2015-04-08,0,2.14758819342576,0,"logscale",NA,"urine","2013",2005-12-06,"","M",9.34,"adult"
"LEN",2015-04-21,0,2.12532429489604,0,"logscale",NA,"urine","2013",2005-12-06,"","M",9.37,"adult"
"LEN",2014-10-07,0,2.2085318449325,0,"logscale",NA,"urine","2013",2005-12-06,"","M",8.84,"adult"
"LEN",2015-05-21,0,2.51077404370937,1,"logscale",NA,"urine","2013",2005-12-06,"","M",9.45,"adult"
"LEN",2014-10-17,0,2.39508565030978,0,"logscale",NA,"urine","2013",2005-12-06,"","M",8.86,"adult"
"LUI",2014-08-29,0,2.7980351508814,1,"logscale",NA,"urine","2013",1999-07-20,"Z2","M",15.11,"adult"
"LYP",2020-01-28,1,1.8112,1,"net_OD",NA,"plasma","2023",2007-10-06,"Tf","M",12.31,"adult"
"MEK",2014-10-17,0,2.24211678615348,0,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.73,"non-adult"
"MEK",2014-10-14,0,2.06108494775929,0,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.72,"non-adult"
"MEK",2014-10-05,0,3.20958388323743,1,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.69,"non-adult"
"MEK",2014-08-24,0,2.46931525258866,1,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.58,"non-adult"
"MHE",2014-08-11,0,2.05790228167214,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.37,"adult"
"MHE",2015-05-19,0,2.26754740300699,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.14,"adult"
"MHE",2014-10-07,0,2.29196049073413,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.53,"adult"
"MHE",2014-09-06,0,1.86831401006715,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.44,"adult"
"MHE",2014-10-29,0,2.00204810471815,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.59,"adult"
"MHE",2015-04-21,0,2.12419798138435,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.06,"adult"
"MHE",2015-05-16,0,1.80952945924021,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.13,"adult"
"MIA",2014-08-20,0,2.21068430033637,0,"logscale",NA,"urine","2013",2010-09-23,"M","M",3.91,"non-adult"
"MOH",2020-01-31,0,0,0,"net_OD",NA,"plasma","2023",2014-09-09,"M2","M",5.39,"non-adult"
"MOH",2014-10-05,0,2.3776967456378,0,"logscale",NA,"urine","2013",2014-09-09,"M2","M",0.07,"non-adult"
"MOM",2014-08-29,0,2.13228534384292,0,"logscale",NA,"urine","2013",2013-12-10,"M1","M",0.72,"non-adult"
"MUF",2014-10-17,0,2.25966273437622,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.58,"non-adult"
"MUF",2014-08-17,0,2.05135910551392,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.42,"non-adult"
"MUF",2014-10-17,0,2.38584997006773,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.58,"non-adult"
"MYC",2014-08-13,0,2.18238089918224,0,"logscale",NA,"urine","2013",2012-10-29,"M1","M",1.79,"non-adult"
"NEP",2014-08-16,0,2.73076395219727,1,"logscale",NA,"urine","2013",2012-03-28,"N","M",2.38,"non-adult"
"NOH",2014-08-11,0,1.83727014214673,0,"logscale",NA,"urine","2013",2003-04-11,"","M",11.33,"adult"
"NOH",2014-10-12,0,2.40612386313187,1,"logscale",NA,"urine","2013",2003-04-11,"","M",11.5,"adult"
"NOH",2015-04-21,0,2.27748659720437,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.03,"adult"
"NOH",2013-09-30,0,78.8,1,"odv",NA,"urine","5",2003-04-11,"","M",10.47,"adult"
"NOH",2013-09-23,0,15.7,0,"odv",NA,"urine","5",2003-04-11,"","M",10.45,"adult"
"NOH",2015-05-20,0,2.240829611093,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.11,"adult"
"NOH",2015-04-15,0,2.046908031411,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.01,"adult"
"NON",2015-05-18,0,2.18750649666145,0,"logscale",NA,"urine","2013",2014-11-12,"N","M",0.51,"non-adult"
"OBE",2015-05-13,0,3.8888566176119,1,"logscale",NA,"urine","2013",2006-03-20,"","M",9.15,"adult"
"OBE",2015-04-28,0,3.59213544425244,1,"logscale",NA,"urine","2013",2006-03-20,"","M",9.11,"adult"
"OMA",2013-09-19,0,3.9,0,"odv",NA,"urine","5",2010-10-21,"M","M",2.91,"non-adult"
"OMA",2014-08-29,0,2.83358664757223,1,"logscale",NA,"urine","2013",2010-10-21,"M","M",3.85,"non-adult"
"ORE",2014-10-29,0,2.04697449328245,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",6.85,"non-adult"
"ORE",2015-04-08,0,1.9982610582816,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",7.29,"non-adult"
"ORE",2015-04-24,0,2.02474925268666,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",7.34,"non-adult"
"ORE",2013-10-03,0,18.6,0,"odv",NA,"urine","5",2007-12-22,"C","M",5.78,"non-adult"
"ORE",2014-10-12,0,2.03964314453796,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",6.81,"non-adult"
"OTA",2015-05-07,0,2.05418650439679,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.06,"adult"
"OTA",2015-05-11,0,2.10714925394091,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.07,"adult"
"OTA",2015-06-06,0,2.14292085736702,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.14,"adult"
"OTA",2015-05-21,0,2.11741332948629,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.1,"adult"
"OTA",2015-05-07,0,2.19594040066566,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.06,"adult"
"OTA",2015-04-21,0,2.07570936413296,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.01,"adult"
"OTA",2015-06-08,0,2.26167150047665,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.15,"adult"
"OTA",2015-06-08,0,2.24383375105016,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.15,"adult"
"OTA",2017-11-17,0,0.004,0,"net_OD",NA,"plasma","2024",2004-04-15,"","M",13.59,"adult"
"OTA",2015-04-16,0,2.15088543460715,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11,"adult"
"PHO",2013-09-19,0,202,1,"odv",NA,"urine","5",2003-12-01,"","M",9.8,"adult"
"PHO",2014-09-22,0,2.64546880420592,1,"logscale",NA,"urine","2013",2003-12-01,"","M",10.81,"adult"
"PIP",2017-11-17,0,0.004,0,"net_OD",NA,"plasma","2024",2010-10-30,"G","M",7.05,"non-adult"
"QHO",2014-10-04,0,4.45947130845373,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.47,"adult"
"QHO",2014-10-18,0,4.65396035015752,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.51,"adult"
"QHO",2014-10-05,0,3.9619046064854,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.48,"adult"
"QWO",2014-09-23,0,2.1008415361602,0,"logscale",NA,"urine","2013",2014-04-30,"Q","M",0.4,"non-adult"
"SAW",2014-08-29,0,2.26100517590781,0,"logscale",NA,"urine","2013",1999-02-07,"","M",15.56,"adult"
"SAW",2013-09-24,0,18.3,0,"odv",NA,"urine","5",1999-02-07,"","M",14.63,"adult"
"SAW",2013-10-19,0,0,0,"odv",NA,"urine","9",1999-02-07,"","M",14.7,"adult"
"SEA",2014-10-28,0,1.69608453853187,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",7.01,"non-adult"
"SEA",2014-08-28,0,2.44201625559258,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.84,"non-adult"
"SEA",2014-10-02,0,2.48465464089188,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.94,"non-adult"
"SEA",2013-09-24,0,6.9,0,"odv",NA,"urine","5",2007-10-24,"D","M",5.92,"non-adult"
"SEA",2015-04-24,0,2.11400366328132,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",7.5,"non-adult"
"SEA",2014-10-02,0,2.62538660987007,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.94,"non-adult"
"SEA",2014-10-12,0,2.02110783208749,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.97,"non-adult"
"SEG",2015-05-18,0,2.17151205351933,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.75,"adult"
"SEG",2015-05-18,0,2.21566721552806,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.75,"adult"
"SEG",2014-10-17,0,3.18179444949649,1,"logscale",NA,"urine","2013",2004-08-17,"","M",10.17,"adult"
"SEG",2014-10-13,0,2.18933890379366,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.15,"adult"
"SEG",2015-06-10,0,2.27629702296493,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.81,"adult"
"SEG",2014-08-17,0,2.65653542029758,1,"logscale",NA,"urine","2013",2004-08-17,"","M",10,"adult"
